key	title	url
ajoudani2018progress	Progress and prospects of the human--robot collaboration	
29	Stability-guaranteed reinforcement learning for contact-rich manipulation	
152	Safety gymnasium: A unified safe reinforcement learning benchmark	
geng2025roboverse	RoboVerse: Towards a unified platform, dataset and benchmark for scalable and generalizable robot learning	https://arxiv.org/abs/2504.18904
yuan2022safe	Safe-control-gym: A unified benchmark suite for safe learning-based control and reinforcement learning in robotics	
towers2024gymnasium	Gymnasium: A standard interface for reinforcement learning environments	https://arxiv.org/abs/2407.17032
raffin2021stable	Stable-baselines3: Reliable reinforcement learning implementations	
gu2025robust	Robust gymnasium: A unified modular benchmark for robust reinforcement learning	https://arxiv.org/abs/2502.19652
26	Learning-based contact status recognition for peg-in-hole assembly	
100	Neural dynamic policies for end-to-end sensorimotor learning	
33	SafeVLA: Towards Safety Alignment of Vision-Language-Action Model via Constrained Learning	https://arxiv.org/abs/2503.03480
330	Towards Safe Robot Foundation Models	https://arxiv.org/abs/2503.07404
25	Learning impedance actions for safe reinforcement learning in contact-rich tasks	
28	Skill learning for robotic insertion based on one-shot demonstration and reinforcement learning	
10705419	A Survey of Optimization-Based Task and Motion Planning: From Classical to Learning Approaches	https://doi.org/10.1109/TMECH.2024.3452509
cruz2024learning	Learning for contact-rich tasks with cobots	
calanca2015review	A review of algorithms for compliant control of stiff and fixed-compliance robots	
zhang2024srl	SRL-VIC: A Variable Stiffness-Based Safe Reinforcement Learning for Contact-Rich Robotic Tasks	https://doi.org/10.1109/LRA.2024.3396368
317	Safety compliant control for robotic manipulator with task and input constraints	
billard2019trends	Trends and challenges in robot manipulation	
das2025towards	Towards Sustainable Manufacturing: A Review on Innovations in Robotic Assembly and Disassembly	
elguea2023review	A review on reinforcement learning for contact-rich robotic manipulation tasks	
martinez2015safe	Safe robot execution in model-based reinforcement learning	
66	A contact-safe reinforcement learning framework for contact-rich robot manipulation	
jorda2019contact	Contact-driven posture behavior for safe and interactive robot operation	
eppner2015exploitationIJRR	Exploitation of environmental constraints in human and robotic grasping	
narang2022factory	Factory: Fast contact for robotic assembly	https://arxiv.org/abs/2205.03532
el2020towardsICRA	Towards safe human-robot collaboration using deep reinforcement learning	
zhao2021efficientHRC	An efficient and responsive robot motion controller for safe human-robot collaboration	
long2025survey	A Survey: Learning Embodied Intelligence from Physical Simulators and World Models	https://arxiv.org/abs/2507.00917
258	Rmps for safe impedance control in contact-rich manipulation	
175	Null space based efficient reinforcement learning with hierarchical safety constraints	
roveda2020model	Model-based reinforcement learning variable impedance control for human-robot collaboration	
192	Reinforcement learning on variable impedance controller for high-precision robotic assembly	
107	Variable impedance control in end-effector space: An action space for reinforcement learning in contact-rich tasks	
stan2020reinforcement	Reinforcement learning for assembly robots: A review	
samadikhoshkho2024review	A review of compliant mechanisms for contact robotics applications	
eysenbach2018leave	Leave no Trace: Learning to Reset for Safe and Autonomous Reinforcement Learning	
